town,Index,group,State Name,District names,latitude,longitude
Azhoor ,-1.709813463,5,KERALA,Thiruvananthapuram,9.2552818,76.7807776
Kallur Vadakkummuri ,-1.714453358,5,KERALA,Thrissur,10.24756735,76.33281439
Basettihalli ,-1.716352284,5,KARNATAKA,Bangalore Rural,13.5306378,77.8604991
Madayi ,-1.717393302,5,KERALA,Kannur,12.0351951,75.2575451
Rishikesh ,-1.721220334,5,UTTARAKHAND,Dehradun,30.1086537,78.2916193
Navalpattu ,-1.721342765,5,TAMIL NADU,Tiruchirappalli,10.7504375,78.7762002
Soraon ,-1.723092005,5,UTTAR PRADESH,Allahabad ,25.6189044,81.79104128
Athirampuzha ,-1.730412183,5,KERALA,Kottayam,9.6678442,76.5328609
Puthuvype ,-1.734876925,5,KERALA,Ernakulam,10.0013526,76.2220716
Padianallur ,-1.742509708,5,TAMIL NADU,Thiruvallur,13.2032865,80.1730356
Valapattanam ,-1.742526354,5,KERALA,Kannur,11.9273761,75.3463714
Mulavukad ,-1.746925406,5,KERALA,Ernakulam,10.01973815,76.25029873
Edathala ,-1.751793113,5,KERALA,Ernakulam,10.0714367,76.3865521
Mulamthuruthy ,-1.752613959,5,KERALA,Ernakulam,9.89358485,76.40939291
Piplya Kumar ,-1.753767885,5,MADHYA PRADESH,Indore,22.76659125,75.91345768
Shrirampur ,-1.761722665,5,MAHARASHTRA,Yavatmal,22.7549951,88.3416672
Maidan Garhi ,-1.76292027,5,NCT OF DELHI,South,28.4987734,77.1944475
Khuda Alisher ,-1.767375876,5,CHANDIGARH,Chandigarh,30.7764538,76.80970749
Osmania University ,-1.768098627,5,ANDHRA PRADESH,Hyderabad,17.41179405,78.52743697
Moovarasampettai ,-1.769056969,5,TAMIL NADU,Kancheepuram,12.9693665,80.1833591
Ashti ,-1.772548132,5,MAHARASHTRA,Gadchiroli,18.88748765,75.06550178
Ashti ,-1.772548132,5,MAHARASHTRA,Gadchiroli,18.88748765,75.06550178
Manwal ,-1.774389292,5,PUNJAB,Gurdaspur,32.7689671,75.132188
Dowleswaram ,-1.785082332,5,ANDHRA PRADESH,East Godavari,16.950088,81.785515
Bethamangala ,-1.789963819,5,KARNATAKA,Kolar,13.08098342,78.2237822
Kamranga ,-1.792231171,5,WEST BENGAL,Haora ,24.8002305,93.1400503
Mattoor ,-1.80018721,5,KERALA,Ernakulam,10.1710329,76.4289815
Deogiri ,-1.805372058,5,MAHARASHTRA,Yavatmal,20.88454555,77.77880322
Ichoda ,-1.809039792,5,ANDHRA PRADESH,Adilabad,19.4286536,78.4528573
Neb Sarai ,-1.81296455,5,NCT OF DELHI,South,28.5055007,77.2014964
Ujwa ,-1.816675926,5,NCT OF DELHI,South West,28.5699629,76.9093434
Puthenvelikkara ,-1.82564014,5,KERALA,Ernakulam,10.1877655,76.2457603
